Enzyme1	Enzyme2
ENPP3	ADCK3
EPHA2	ADCK3
EPHA4	ADCK3
EPHA6	ADCK3
EPHA7	ADCK3
EPHB1	ADCK3
EPHB2	ADCK3
EPHB3	ADCK3
EPHB4	ADCK3
ERBB2	ADCK3
ERBB3	ADCK3
ERBB4	ADCK3
FAM20C	ADCK3
FASTK	ADCK3
FER	ADCK3
FES	ADCK3
FGFR1	ADCK3
FGFR2	ADCK3
FGFR3	ADCK3
FLT3	ADCK3
FRK	ADCK3
FYN	ADCK3
GAK	ADCK3
GCK	ADCK3
GSK3A	ADCK3
GSK3B	ADCK3
HCK	ADCK3
HIPK1	ADCK3
HIPK2	ADCK3
HIPK3	ADCK3
HSPA5	ADCK3
HUNK	ADCK3
ICK	ADCK3
IGF1R	ADCK3
INSR	ADCK3
IRAK1	ADCK3
IRAK2	ADCK3
IRAK4	ADCK3
ITK	ADCK3
JAK2	ADCK3
JAK3	ADCK3
KDR	ADCK3
KSR1	ADCK3
LATS1	ADCK3
LATS2	ADCK3
LCK	ADCK3
LIMK1	ADCK3
LIMK2	ADCK3
LRRK1	ADCK3
LYN	ADCK3
MAK	ADCK3
MAP2K2	ADCK3
MAP2K3	ADCK3
MAP2K4	ADCK3
MAP2K5	ADCK3
MAP2K6	ADCK3
MAP2K7	ADCK3
MAP3K1	ADCK3
MAP3K3	ADCK3
MAP3K4	ADCK3
MAP3K5	ADCK3
MAP3K8	ADCK3
MAP4K4	ADCK3
MAPKAPK2	ADCK3
MAPKAPK3	ADCK3
MARK1	ADCK3
MARK3	ADCK3
MARK4	ADCK3
MAST1	ADCK3
MAST2	ADCK3
MAST3	ADCK3
MAST4	ADCK3
MASTL	ADCK3
MELK	ADCK3
MET	ADCK3
MLKL	ADCK3
MOK	ADCK3
MST1	ADCK3
MST4	ADCK3
MYT1	ADCK3
NEK1	ADCK3
NEK2	ADCK3
NEK3	ADCK3
NEK4	ADCK3
NEK6	ADCK3
NEK7	ADCK3
NEK8	ADCK3
NEK9	ADCK3
NME1	ADCK3
NRBP1	ADCK3
NRBP2	ADCK3
NRK	ADCK3
NUAK1	ADCK3
NUAK2	ADCK3
OBSCN	ADCK3
OSR1	ADCK3
PAK1	ADCK3
PAK2	ADCK3
PAK3	ADCK3
PAK4	ADCK3
PAK6	ADCK3
PASK	ADCK3
PBK	ADCK3
PDGFRA	ADCK3
PDGFRB	ADCK3
PDK1	ADCK3
PHKG1	ADCK3
PIK3CD	ADCK3
PIK3CG	ADCK3
PIKFYVE	ADCK3
PIM1	ADCK3
PIM2	ADCK3
PIM3	ADCK3
PINK1	ADCK3
PKD1	ADCK3
PKN1	ADCK3
PKN2	ADCK3
PKN3	ADCK3
PLK1	ADCK3
PLK2	ADCK3
PLK3	ADCK3
PLK4	ADCK3
PRKAB1	ADCK3
PRKX	ADCK3
PSKH1	ADCK3
RAF1	ADCK3
RET	ADCK3
RIOK1	ADCK3
RIOK3	ADCK3
RIPK1	ADCK3
RIPK3	ADCK3
RNASEL	ADCK3
ROCK1	ADCK3
ROCK2	ADCK3
ROR1	ADCK3
ROR2	ADCK3
RYK	ADCK3
SGK1	ADCK3
SGK196	ADCK3
SGK2	ADCK3
SGK223	ADCK3
SIK1	ADCK3
SLK	ADCK3
SNRK	ADCK3
SPEG	ADCK3
SRM	ADCK3
SRPK2	ADCK3
STK33	ADCK3
TAF1	ADCK3
TBK1	ADCK3
TEC	ADCK3
TESK2	ADCK3
TGFBR1	ADCK3
TGFBR2	ADCK3
TIE1	ADCK3
TLK1	ADCK3
TLK2	ADCK3
TNIK	ADCK3
TRIO	ADCK3
TTBK1	ADCK3
TTK	ADCK3
TTN	ADCK3
TXK	ADCK3
TYK2	ADCK3
TYRO3	ADCK3
ULK1	ADCK3
ULK2	ADCK3
ULK3	ADCK3
VRK2	ADCK3
VRK3	ADCK3
WEE1	ADCK3
WNK1	ADCK3
WNK3	ADCK3
WNK4	ADCK3
ZAK	ADCK3
ZAP70	ADCK3
ADCK1	ADCK4
ADCK2	ADCK4
ADCK3	ADCK4
ADCK5	ADCK4
AKT3	ADCK4
AXL	ADCK4
BRSK1	ADCK4
CAMK2D	ADCK4
CDK11A	ADCK4
CDK12	ADCK4
CDK19	ADCK4
CDK5	ADCK4
CDK7	ADCK4
